id,departure,destination,startStation,endStation,journey,distance
2981.1514.A,Hà Nội,Gia Lai,Nước Ngầm,Ayun Pa,BX Ayun Pa - QL25 - Đường Hồ Chí Minh (QL14) - ĐT665 - QL19 - QL19B - QL1A - Cao tốc Quảng Ngãi Đà Nẵng - QL1A - Đường 13 Hà Trung - ĐT508 - QL12B - QL10 - Cao tốc Pháp Vân Cầu Giẽ - BX Nước Ngầm,1350
2981.1515.A,Hà Nội,Gia Lai,Nước Ngầm,KBang,BX Kbang - TL669 - QL19 - QL1A - BX Nước Ngầm,1100
2981.1518.A,Hà Nội,Gia Lai,Nước Ngầm,Krông Pa,BX Krông Pa - QL25 - Đường Hồ Chí Minh - QL19 - QL1 - Cao tốc Pháp Vân - Cầu Giẽ - BX Nước Ngầm,1395
2981.1519.A,Hà Nội,Gia Lai,Nước Ngầm,Đức Cơ,BX Đức Cơ - QL19 - QL14 - QL1A - BX Nước Ngầm,1300
2981.1570.A,Hà Nội,Gia Lai,Nước Ngầm,Phú Thiện,BX Phú Thiện - QL25 - Đường Hồ Chí Minh (QL14 cǜ) - QL19 - QL1 - Ngã 3 Yên Mỗ (Ninh Bình) - ĐT480 - Huyện Yên Khánh - QL10 - Cầu vượt Ninh Bình - Cao tốc Pháp Vân Cầu Giẽ - Đường Giải Phóng - BX Nước Ngầm,1330
2981.1611.A,Hà Nội,Gia Lai,Yên Nghĩa,Đức Long Gia Lai,BX Đức Long Gia Lai - Đường Hồ Chí Minh- QL1 - BX Yên Nghĩa,1260
2982.1111.A,Hà Nội,Kon Tum,Giáp Bát,Kon Tum,BX Kon Tum - Đường Hồ Chí Minh - QL14B - QL1 - TP Vinh - QL48 - Yên Lý - Thịnh Mỹ - Thái Hòa - Đường Hồ Chí Minh - Xuân Mai - Hòa Lạc - Đại lộ Thăng Long - BX Giáp Bát,1110
2982.1511.A,Hà Nội,Kon Tum,Nước Ngầm,Kon Tum,BX Kon Tum - Đường Hồ Chí Minh - QL14B - QL1A - Đường tránh TP Vinh - QL1A - BX Nước Ngầm,1110
2982.1515.A,Hà Nội,Kon Tum,Nước Ngầm,Kon Plông,BX huyện Kon Plông - QL24 - Đường Hồ Chí Minh - QL14B - QL1A - Đường tránh TP Vinh - QL1A - BX Nước Ngầm,1100
2982.1611.A,Hà Nội,Kon Tum,Yên Nghĩa,Kon Tum,BX Kon Tum - Đường Hồ Chí Minh - QL14B - QL1A - QL8A - QL15A - QL15 - Đường Hồ Chí Minh - Xuân Mai - QL6 - BX Yên Nghĩa,1100
2982.1615.A,Hà Nội,Kon Tum,Yên Nghĩa,Kon Plông,BX huyện Kon Plông - QL24 - Đường Hồ Chí Minh - QL14B - QL1A - QL8A - QL15A - QL15 - Đường Hồ Chí Minh - Xuân Mai - QL6 - BX Yên Nghĩa,1160
