id,departure,destination,startStation,endStation,journey,distance
2988.1614.A,Hà Nội,Vĩnh Phúc,Yên Nghĩa,Lập Thạch,BX Lập Thạch - ĐT306 - Tử Du - Bản Giản - Đồng Ích - ĐT309 - TT Hợp Hòa - QL2C - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Nút giao BigC) - Nút giao BigC - Đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - Đường Quang Trung - BX Yên Nghĩa,100
2988.1619.A,Hà Nội,Vĩnh Phúc,Yên Nghĩa,Sông Lô,BX Sông Lô - ĐT307B - ĐT307 - TT Lập Thạch - ĐT305 - QL2 - Cầu Thăng Long - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Nút giao BigC) - Nút giao BigC - Đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,110
2989.1116.A,Hà Nội,Hưng Yên,Giáp Bát,La Tiến,BX La Tiến - ĐT386 - TT Trần Cao - QL39B - TT Vương - Chợ Đầu - Chợ Gạo - Đường Nguyễn Văn Linh - BX Hưng Yên - Đường Chu Mạnh Trinh - cầu Yên Lệnh - TT Hòa Mạc - QL38 - Đồng Văn - QL1A - Đỗ Xá - Cao tốc Pháp Vân Cầu Giẽ - Đường Giải Phóng - BX Giáp Bát,85
2989.1211.A,Hà Nội,Hưng Yên,Gia Lâm,TP Hưng Yên,BX Hưng Yên - QL39 - QL5 - BX Gia Lâm,60
2989.1216.A,Hà Nội,Hưng Yên,Gia Lâm,La Tiến,BX La Tiến - ĐT386 - TT Trần Cao - QL38 - TT Vương - ĐT376 - Chợ Thi (xã Hồng Quang) - TT Ân Thi - Cầu Treo - Phố Nối - QL5 -Đường Nguyễn Văn Cừ - BX Gia Lâm,60
2989.1221.A,Hà Nội,Hưng Yên,Gia Lâm,Triều Dương,BX Triều Dương - QL39 - QL5 - Cầu Chui - Nguyễn Văn Cừ - BX Gia Lâm,65
2989.1221.B,Hà Nội,Hưng Yên,Gia Lâm,Triều Dương,BX Triều Dương - QL39 - Đường Tô Hiệu (TP Hưng Yên) - Đường Nguyễn Văn Linh (TP Hưng Yên) - Dốc Suối - ĐT378 (TL195 cǜ) - Thị trấn Văn Giang - ĐH21 - ĐT379 - Gầm cầu Thanh Trì - Đường dẫn cầu Thanh Trì và cầu Vĩnh Tuy - Cầu vượt Sài Đồng - Đường Nguyễn Văn Linh (Gia Lâm - Hà Nội) - Đường Nguyễn Văn Cừ - Đường Ngô Gia Khảm - BX Gia Lâm,60
2989.1513.A,Hà Nội,Hưng Yên,Nước Ngầm,Ân Thi,BX Ân Thi - ĐT376 - TT Ân Thi - QL38 - Quán Gỏi - QL5 - Cầu Thanh Trì - Yên Sở - Pháp Vân - BX Nước Ngầm,70
2989.1611.A,Hà Nội,Hưng Yên,Yên Nghĩa,TP Hưng Yên,BX Hưng Yên - Chợ Gạo - Dốc Lã - QL39 - TTLương Bằng - Trương Xá - Ngã tư Dân Tiến - Từ Hồ - ĐT379 - Trung tâm Văn Giang - KĐT Ecopark - cầu Thanh Trì - Đường Vành đai 3 - đại lộ Thăng Long - Đường 70 - Đường 72 - Đường Lê Trọng Tấn - Đường Quang Trung - QL6 - BX Yên Nghĩa,88
2989.1611.B,Hà Nội,Hưng Yên,Yên Nghĩa,TP Hưng Yên,BX Hưng Yên - QL39 - QL5 - Cầu Thanh Trì - đường vành đai 3 trên cao (đoạn Cầu Thanh Trì - Nút giao Big C) - Đại lộ Thăng Long - ĐT70 - ĐT 72 - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,90
2989.1613.A,Hà Nội,Hưng Yên,Yên Nghĩa,Ân Thi,BX Ân Thi - ĐT376 - QL38B - Trương Xá - QL39 - Phố Nối - QL5 - Cầu Thanh trì - Vành đai 3 trên cao (Đoạn Cầu Thanh trì - Nút giao BigC) - Đường gom đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,80
2989.1613.B,Hà Nội,Hưng Yên,Yên Nghĩa,Ân Thi,BX Ân Thi - ĐT376 - Chợ Thi - Thị trấn Lương Bằng - QL39 - QL5 - Cầu Thanh Trì - Pháp Vân - Ngọc Hồi - Phan Trọng Tuệ - Cầu Bươu (Đường 70) - Phùng Hưng,80
2989.1616.A,Hà Nội,Hưng Yên,Yên Nghĩa,La Tiến,BX La Tiến - ĐT386 - QL38 - Chợ Gạo - QL39 - QL5 - Cầu Thanh trì - Vành đai 3 trên cao (Đoạn Cầu Thanh trì - Nút giao BigC) - Đường gom đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,80
2989.1616.B,Hà Nội,Hưng Yên,Yên Nghĩa,La Tiến,BX La Tiến - ĐT386 - QL38B - Đường Phạm Bạch Hổ - Cầu Yên Lệnh - QL38 - QL1 - Phan Trọng Tuệ - Cầu Bươu - Đường Lê Trọng Tấn - Quang Trung (Hà Đông) - BX Yên Nghĩa,90
2989.1621.A,Hà Nội,Hưng Yên,Yên Nghĩa,Triều Dương,BX Triều Dương - QL39 - Ngã tư Dân Tiến - ĐT376 - Thị trấn Văn Giang - KĐT Ecopark - Cầu Thanh Trì - Đường vành đai 3 - Đại lộ Thăng Long - Đường 70 - Đường 72 - Đường Lê Trọng Tấn - Đường Quang Trung - QL6 - BX Yên Nghĩa,82
2989.1621.B,Hà Nội,Hưng Yên,Yên Nghĩa,Triều Dương,BX Triều Dương - QL39A - Đường Tô Hiệu - Đường Nguyễn Văn Linh - Đường Chu Mạnh Trinh - Cầu Yên Lệnh - QL38 - QL1A - Đường vành đai 3 - Đại lộ Thăng Long - Đường 70 - Đường 72 - Đường Lê Trọng Tấn - Đường Quang Trung - QL6 - BX Yên Nghĩa,75
2989.1621.C,Hà Nội,Hưng Yên,Yên Nghĩa,Triều Dương,BX Triều Dương - QL39A - Cầu Treo (Yên Mỹ) - ĐT380 - Ngã tư Phố Nối - QL5 - Cầu Thanh Trì - Đường vành đai 3 - Đại lộ Thăng Long - Đường 70 - Đường 72 - Đường Lê Trọng Tấn - Đường Quang Trung - QL6 - BX Yên Nghĩa,87
2990.1111.A,Hà Nội,Hà Nam,Giáp Bát,Trung tâm Hà Nam,BX Trung tâm Hà Nam - Đồng Văn - Cầu Giẽ - Cao tốc (Cầu Giẽ - Pháp Vân) - BX Giáp Bát,60
2990.1112.A,Hà Nội,Hà Nam,Giáp Bát,Vĩnh Trụ,BX Vĩnh Trụ - ĐT491 - Phủ Lý - QL1 - Đồng Văn - Cầu Giẽ - Cao tốc Cầu Giẽ Pháp Vân - BX Giáp Bát,70
2990.1112.B,Hà Nội,Hà Nam,Giáp Bát,Vĩnh Trụ,BX Vĩnh Trụ - Đập Phúc - Hòa Mạc - Vực Vòng - Cao tốc (Cầu Giẽ - Pháp Vân) - BX Giáp Bát,70
